Année,Diplôme,situation,Genre,Disciplines,Code du domaine,Domaine ciblé,Domaine,Code de la discipline,Discipline,Code du secteur disciplinaire,Secteur disciplinaire,Taux d’insertion,Part des emplois de niveau cadre ou profession intermédiaire,Part des emplois de niveau cadre,% emplois extérieurs à la région de l’université,Part des emplois stables,Part des emplois à temps plein,Salaire net mensuel médian des emplois à temps plein,Salaire brut annuel estimé,Premier quartile des salaires nets mensuels des emplois à temps plein,Dernier quartile des salaires nets mensuels des emplois à temps plein,Part des diplômés boursiers dans la discipline,Taux de chômage national
2020-01-01,MASTER LMD,30 mois après le diplôme,femmes,"Lettres, langues, arts>Lettres, langues, arts>Français, langue étrangère",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_03,"Français, langue étrangère",85,87,61,61,60,71,1720,26800,ns,ns,50,6.9
2015-01-01,MASTER LMD,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts>Lettres, langues, arts>Français, langue étrangère",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_03,"Français, langue étrangère",95,87,74,74,27,74,1500,23400,ns,ns,23,8.6
2017-01-01,MASTER LMD,30 mois après le diplôme,femmes,"Lettres, langues, arts>Lettres, langues, arts>Français, langue étrangère",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_03,"Français, langue étrangère",91,88,54,42,48,78,1700,26500,ns,ns,40,7.8
2011-01-01,MASTER LMD,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts>Lettres, langues, arts>Français, langue étrangère",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_03,"Français, langue étrangère",91,82,58,58,47,73,1500,23400,ns,ns,29,9.7
2015-01-01,MASTER LMD,18 mois après le diplôme,femmes et hommes,"Lettres, langues, arts>Lettres, langues, arts>Français, langue étrangère",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_03,"Français, langue étrangère",88,84,74,74,23,71,1400,21800,ns,ns,23,8.6
2014-01-01,MASTER LMD,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts>Lettres, langues, arts>Langues et littératures étrangères",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_05,Langues et littératures étrangères,90,80,58,41,67,87,1700,26500,1390,1950,36,9.3
2018-01-01,MASTER LMD,18 mois après le diplôme,femmes et hommes,"Lettres, langues, arts>Lettres, langues, arts>Langues et littératures étrangères",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_05,Langues et littératures étrangères,84,71,49,42,57,84,1680,26200,1400,2080,45,7.8
2019-01-01,MASTER LMD,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts>Lettres, langues, arts>Langues et littératures étrangères",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_05,Langues et littératures étrangères,89,81,59,43,64,91,1840,28700,1510,2270,48,7.2
2014-01-01,MASTER LMD,18 mois après le diplôme,hommes,"Lettres, langues, arts>Lettres, langues, arts>Langues et littératures étrangères",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_05,Langues et littératures étrangères,88,73,55,35,57,87,1600,25000,ns,ns,33,9.3
2019-01-01,MASTER LMD,30 mois après le diplôme,hommes,"Lettres, langues, arts>Lettres, langues, arts>Langues et littératures étrangères",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_05,Langues et littératures étrangères,90,81,61,46,60,88,1930,30200,1680,2460,43,7.2
2019-01-01,MASTER LMD,18 mois après le diplôme,femmes,"Lettres, langues, arts>Lettres, langues, arts>Langues et littératures étrangères",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_05,Langues et littératures étrangères,80,78,54,42,53,88,1700,27800,1400,2120,49,7.2
2013-01-01,MASTER LMD,18 mois après le diplôme,femmes,"Lettres, langues, arts>Lettres, langues, arts>Langues et littératures françaises",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_06,Langues et littératures françaises,87,70,51,35,66,85,1600,25000,1280,1750,41,9.9
